yr,age_grp,gender,net_bal_amt
2019,Up to 20,Male,636931000
2019,Up to 20,Female,633835000
2019,>20 - 25,Male,993780000
2019,>20 - 25,Female,1487522000
2019,>25 - 30,Male,6118562000
2019,>25 - 30,Female,7960614000
2019,>30 - 35,Male,12921748000
2019,>30 - 35,Female,14452302000
2019,>35 - 40,Male,19664187000
2019,>35 - 40,Female,20213440000
2019,>40 - 45,Male,26547293000
2019,>40 - 45,Female,25734067000
2019,>45 - 50,Male,33692104000
2019,>45 - 50,Female,30454148000
2019,>50 - 55,Male,35660686000
2019,>50 - 55,Female,29487481000
2019,>55 - 60,Male,33082753000
2019,>55 - 60,Female,27184728000
2019,>60 - 65,Male,26224287000
2019,>60 - 65,Female,21561786000
2019,>65 - 70,Male,16835902000
2019,>65 - 70,Female,13053537000
2019,>70 - 75,Male,7338894000
2019,>70 - 75,Female,5807908000
2019,>75 - 80,Male,2316277000
2019,>75 - 80,Female,1810117000
2019,Above 80,Male,1656805000
2019,Above 80,Female,1542904000
2019,Unspecified,Male,22851000
2019,Unspecified,Female,5627000
2020,Up to 20,Male,740025000
2020,Up to 20,Female,731882000
2020,>20 - 25,Male,972301000
2020,>20 - 25,Female,1464603000
2020,>25 - 30,Male,6206812000
2020,>25 - 30,Female,8091580000
2020,>30 - 35,Male,13943667000
2020,>30 - 35,Female,15577899000
2020,>35 - 40,Male,20558801000
2020,>35 - 40,Female,21422301000
2020,>40 - 45,Male,28010239000
2020,>40 - 45,Female,27448761000
2020,>45 - 50,Male,35355540000
2020,>45 - 50,Female,32491001000
2020,>50 - 55,Male,37760255000
2020,>50 - 55,Female,31976543000
2020,>55 - 60,Male,36455056000
2020,>55 - 60,Female,30367427000
2020,>60 - 65,Male,28542333000
2020,>60 - 65,Female,23723886000
2020,>65 - 70,Male,19410367000
2020,>65 - 70,Female,15530331000
2020,>70 - 75,Male,9285408000
2020,>70 - 75,Female,7509731000
2020,>75 - 80,Male,2587764000
2020,>75 - 80,Female,2062584000
2020,Above 80,Male,1985687000
2020,Above 80,Female,1881100000
2020,Unspecified,Male,22851000
2020,Unspecified,Female,5800000
2021,Up to 20,Male,881145000
2021,Up to 20,Female,871983000
2021,>20 - 25,Male,986890000
2021,>20 - 25,Female,1472886000
2021,>25 - 30,Male,6354506000
2021,>25 - 30,Female,8250859000
2021,>30 - 35,Male,15200381000
2021,>30 - 35,Female,16956210000
2021,>35 - 40,Male,21012758000
2021,>35 - 40,Female,22148305000
2021,>40 - 45,Male,29230058000
2021,>40 - 45,Female,28992761000
2021,>45 - 50,Male,37554694000
2021,>45 - 50,Female,35201063000
2021,>50 - 55,Male,40797425000
2021,>50 - 55,Female,35334464000
2021,>55 - 60,Male,39812428000
2021,>55 - 60,Female,33656267000
2021,>60 - 65,Male,31896259000
2021,>60 - 65,Female,26879173000
2021,>65 - 70,Male,22643156000
2021,>65 - 70,Female,18727011000
2021,>70 - 75,Male,11028601000
2021,>70 - 75,Female,9077723000
2021,>75 - 80,Male,3334960000
2021,>75 - 80,Female,2751236000
2021,Above 80,Male,2352936000
2021,Above 80,Female,2274829000
2021,Unspecified,Male,24197000
2021,Unspecified,Female,6021000
2022,Up to 20,Male,1037013000
2022,Up to 20,Female,1021735000
2022,>20 - 25,Male,1026790000
2022,>20 - 25,Female,1544350000
2022,>25 - 30,Male,6625650000
2022,>25 - 30,Female,8516630000
2022,>30 - 35,Male,16422326000
2022,>30 - 35,Female,18215057000
2022,>35 - 40,Male,21620458000
2022,>35 - 40,Female,23117549000
2022,>40 - 45,Male,30851952000
2022,>40 - 45,Female,30911174000
2022,>45 - 50,Male,38604376000
2022,>45 - 50,Female,36749074000
2022,>50 - 55,Male,43543739000
2022,>50 - 55,Female,38514589000
2022,>55 - 60,Male,42070324000
2022,>55 - 60,Female,36213639000
2022,>60 - 65,Male,34697117000
2022,>60 - 65,Female,29773823000
2022,>65 - 70,Male,25407234000
2022,>65 - 70,Female,21730438000
2022,>70 - 75,Male,12680183000
2022,>70 - 75,Female,10566449000
2022,>75 - 80,Male,4401852000
2022,>75 - 80,Female,3778613000
2022,Above 80,Male,2572211000
2022,Above 80,Female,2571193000
2022,Unspecified,Male,24605000
2022,Unspecified,Female,6045000
